filename,title,authors,series,url,Category
9780688073312_722c9d00-907b-4f3a-a101-1fe78895c38a.jpg,I Read Signs,Tana Hoban,,https://harpercollins.com/products/i-read-signs-tana-hoban-1,Board Books
9780544991149_d7ab4976-8741-473b-b52c-0c5244db5228.jpg,"Autobús/Bus Bilingual Board Book, El",Chris Demarest,,https://harpercollins.com/products/autobusbus-bilingual-board-book-el-chris-demarest,Board Books
9780062317216_4697915f-9ad3-4bfc-9e12-bc14962cc076.jpg,Paddington Bear All Day Board Book,"Michael Bond, R. W. Alley",,https://harpercollins.com/products/paddington-bear-all-day-board-book-michael-bond-1,Board Books
9780062317216_4697915f-9ad3-4bfc-9e12-bc14962cc076.jpg,Paddington Bear All Day Board Book,"Michael Bond, R. W. Alley",,https://harpercollins.com/products/paddington-bear-all-day-board-book-michael-bond-1,Beginning Readers
9780544323599_2c5cdfc8-9630-4106-af5a-c52c8cb67725.jpg,Curious George's Crane (Mini Movers Shaped Board Books),H. A. Rey,,https://harpercollins.com/products/curious-georges-crane-mini-movers-shaped-board-books-h-a-rey-1,Board Books
9781328808714_a45a064a-7cfa-4525-b484-add5b33cb222.jpg,¡Lluvia!/Rain! Bilingual Board Book,"Linda Ashman, Christian Robinson, Calvo, Carlos",,https://harpercollins.com/products/lluviarain-bilingual-board-book-linda-ashman,Board Books
9780064434027_126ce417-6eed-4aab-8122-8f985ea1a91d.jpg,Harold y el lápiz color morado,Crockett Johnson,,https://harpercollins.com/products/harold-y-el-lapiz-color-morado-crockett-johnsoncrockett-johnson,Board Books
9780064434027_126ce417-6eed-4aab-8122-8f985ea1a91d.jpg,Harold y el lápiz color morado,Crockett Johnson,,https://harpercollins.com/products/harold-y-el-lapiz-color-morado-crockett-johnsoncrockett-johnson,Picture Books
9780060740757_c91f2984-4f95-4c77-84d1-a806afa194fc.jpg,10 Little Rubber Ducks,Eric Carle,,https://harpercollins.com/products/10-little-rubber-ducks-eric-carleeric-carle,Board Books
9780062457080_5824cae8-803d-400e-bee6-12dc51ec5581.jpg,Freight Train/Tren de carga Board Book,Donald Crews,,https://harpercollins.com/products/freight-traintren-de-carga-board-book-donald-crews,Board Books
